2024-09-30 13:01:21,527 [my_agent_code] INFO: Loading model from saved state.
2024-09-30 13:01:28,240 [my_agent_code] DEBUG: (np.int64(15), np.int64(14)), UP, 1, 15, 52, 12
2024-09-30 13:01:28,343 [my_agent_code] DEBUG: (np.int64(15), np.int64(13)), UP, 1, 14, 53, 12
2024-09-30 13:01:28,442 [my_agent_code] DEBUG: (np.int64(15), np.int64(12)), UP, 1, 14, 54, 12
2024-09-30 13:01:28,544 [my_agent_code] DEBUG: (np.int64(15), np.int64(11)), UP, 1, 13, 55, 12
2024-09-30 13:01:28,646 [my_agent_code] DEBUG: (np.int64(15), np.int64(10)), UP, 1, 13, 56, 12
2024-09-30 13:01:28,746 [my_agent_code] DEBUG: (np.int64(15), np.int64(9)), UP, 1, 13, 57, 12
2024-09-30 13:01:28,847 [my_agent_code] DEBUG: (np.int64(15), np.int64(8)), UP, 1, 13, 58, 12
2024-09-30 13:01:28,949 [my_agent_code] DEBUG: (np.int64(15), np.int64(7)), DOWN, 1, 13, 59, 12
2024-09-30 13:01:29,051 [my_agent_code] DEBUG: (np.int64(15), np.int64(8)), DOWN, 1, 13, 60, 12
2024-09-30 13:01:29,151 [my_agent_code] DEBUG: (np.int64(15), np.int64(9)), UP, 1, 13, 61, 12
2024-09-30 13:01:29,252 [my_agent_code] DEBUG: (np.int64(15), np.int64(8)), UP, 1, 13, 62, 12
2024-09-30 13:01:29,352 [my_agent_code] DEBUG: (np.int64(15), np.int64(7)), LEFT, 1, 12, 63, 12
2024-09-30 13:01:29,453 [my_agent_code] DEBUG: (np.int64(14), np.int64(7)), LEFT, 1, 12, 64, 12
2024-09-30 13:01:29,555 [my_agent_code] DEBUG: (np.int64(13), np.int64(7)), DOWN, 1, 12, 65, 12
2024-09-30 13:01:29,657 [my_agent_code] DEBUG: (np.int64(13), np.int64(8)), DOWN, 1, 12, 66, 12
2024-09-30 13:01:29,758 [my_agent_code] DEBUG: (np.int64(13), np.int64(9)), LEFT, 1, 12, 67, 12
2024-09-30 13:01:29,858 [my_agent_code] DEBUG: (np.int64(12), np.int64(9)), RIGHT, 1, 12, 68, 12
2024-09-30 13:01:29,960 [my_agent_code] DEBUG: (np.int64(13), np.int64(9)), UP, 1, 12, 69, 12
2024-09-30 13:01:30,059 [my_agent_code] DEBUG: (np.int64(13), np.int64(8)), UP, 1, 12, 70, 12
2024-09-30 13:01:30,164 [my_agent_code] DEBUG: (np.int64(13), np.int64(7)), UP, 1, 11, 71, 12
2024-09-30 13:01:30,263 [my_agent_code] DEBUG: (np.int64(13), np.int64(6)), UP, 1, 10, 72, 13
2024-09-30 13:01:30,365 [my_agent_code] DEBUG: (np.int64(13), np.int64(5)), UP, 1, 10, 73, 13
2024-09-30 13:01:30,465 [my_agent_code] DEBUG: (np.int64(13), np.int64(4)), UP, 1, 8, 74, 14
2024-09-30 13:01:30,567 [my_agent_code] DEBUG: (np.int64(13), np.int64(3)), RIGHT, 1, 7, 75, 15
2024-09-30 13:01:30,667 [my_agent_code] DEBUG: (np.int64(14), np.int64(3)), RIGHT, 1, 7, 76, 15
2024-09-30 13:01:30,768 [my_agent_code] DEBUG: (np.int64(15), np.int64(3)), DOWN, 1, 5, 77, 16
2024-09-30 13:01:30,868 [my_agent_code] DEBUG: (np.int64(15), np.int64(4)), DOWN, 1, 5, 78, 16
2024-09-30 13:01:30,968 [my_agent_code] DEBUG: (np.int64(15), np.int64(5)), LEFT, 1, 3, 79, 17
2024-09-30 13:01:31,069 [my_agent_code] DEBUG: (np.int64(14), np.int64(5)), LEFT, 1, 3, 80, 17
2024-09-30 13:01:31,171 [my_agent_code] DEBUG: (np.int64(13), np.int64(5)), DOWN, 1, 2, 81, 17
2024-09-30 13:01:31,273 [my_agent_code] DEBUG: (np.int64(13), np.int64(6)), DOWN, 1, 2, 82, 17
2024-09-30 13:01:31,374 [my_agent_code] DEBUG: (np.int64(13), np.int64(7)), DOWN, 1, 2, 83, 17
2024-09-30 13:01:31,474 [my_agent_code] DEBUG: (np.int64(13), np.int64(8)), DOWN, 1, 2, 84, 17
2024-09-30 13:01:31,576 [my_agent_code] DEBUG: (np.int64(13), np.int64(9)), RIGHT, 1, 2, 85, 17
2024-09-30 13:01:31,677 [my_agent_code] DEBUG: (np.int64(14), np.int64(9)), RIGHT, 1, 2, 86, 17
2024-09-30 13:01:31,778 [my_agent_code] DEBUG: (np.int64(15), np.int64(9)), DOWN, 1, 2, 87, 17
2024-09-30 13:01:31,879 [my_agent_code] DEBUG: (np.int64(15), np.int64(10)), BOMB, 1, 2, 88, 17
2024-09-30 13:01:31,982 [my_agent_code] DEBUG: (np.int64(15), np.int64(10)), DOWN, 1, 2, 89, 17
2024-09-30 13:01:32,081 [my_agent_code] DEBUG: (np.int64(15), np.int64(11)), LEFT, 1, 2, 90, 17
2024-09-30 13:01:32,180 [my_agent_code] DEBUG: (np.int64(14), np.int64(11)), LEFT, 1, 2, 91, 17
2024-09-30 13:01:32,283 [my_agent_code] DEBUG: (np.int64(13), np.int64(11)), LEFT, 1, 2, 92, 17
2024-09-30 13:01:32,383 [my_agent_code] DEBUG: (np.int64(12), np.int64(11)), BOMB, 1, 2, 93, 17
2024-09-30 13:01:32,484 [my_agent_code] DEBUG: (np.int64(12), np.int64(11)), LEFT, 1, 2, 94, 17
2024-09-30 13:01:32,586 [my_agent_code] DEBUG: (np.int64(11), np.int64(11)), LEFT, 1, 2, 95, 17
2024-09-30 13:01:32,686 [my_agent_code] DEBUG: (np.int64(10), np.int64(11)), BOMB, 1, 2, 96, 17
2024-09-30 13:01:32,787 [my_agent_code] DEBUG: (np.int64(10), np.int64(11)), LEFT, 1, 2, 97, 17
2024-09-30 13:01:32,889 [my_agent_code] DEBUG: (np.int64(9), np.int64(11)), UP, 1, 2, 98, 17
2024-09-30 13:01:32,989 [my_agent_code] DEBUG: (np.int64(9), np.int64(10)), WAIT, 1, 2, 99, 17
2024-09-30 13:01:33,090 [my_agent_code] DEBUG: (np.int64(9), np.int64(10)), UP, 1, 2, 100, 17
